zip_code	value
	180
94915	825
94803	600
94974	1080
95965	360
95032	840
94132	120
95624	540
94964	756
94561	300
95404	270
94912	605
94939	503
94976	540
94977	508
94970	853
94971	506
94972	620
94973	408
94930	678
unknown	360
94110	420
94933	609
94978	692
94979	465
94937	854
93446	300
17403	600
94956	522
94957	472
94954	540
94940	1490
94952	785
94950	782
94951	840
76483	1050
94938	697
94998	520
94999	780
94913	450
94102	600
94963	530
95925	0
93921	0
93905	240
94961	520
94129	840
94901	472
94903	497
94946	1027
94904	454
94929	815
85140	360
94925	416
94924	1227
94805	420
94920	530
11111	540
94914	486
94949	473
94948	508
94945	457
94947	487
94960	554
94941	489
94966	735
94965	515
94942	559
